seller-name,seller-type,layout_type,property_type,projName,location,val 2,unit,area,val 4,possession,number of bedrooms
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,3.6,Cr,"9,471 / sq ft",Under Construction,East facing,4 BHK Property for Sale in Viman Nagar Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,84,L,"7,228 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,3.5,Cr,"9,398 / sq ft",Under Construction,East facing,4 BHK Property for Sale in Viman Nagar Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,71.92,L,"6,358 / sq ft",Under Construction,,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,2,Cr,"7,936 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Samarth Samarth Nagar,Wadgaon Sheri,71.4,L,"7,048 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Samarth Samarth Nagar,Wadgaon Sheri,71.75,L,"7,020 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.1,Cr,"7,142 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Samarth Samarth Nagar,Wadgaon Sheri,72.1,L,"7,000 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,83,L,"7,217 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.38,L,"6,677 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.24,L,"6,708 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.8,Cr,"8,035 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.1,L,"6,740 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,69.96,L,"6,772 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,69.82,L,"6,805 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.07,Cr,"7,058 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,82,L,"7,186 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Kumar Palaash,Wadgaon Sheri,74.9,L,"6,827 / sq ft",Under Construction,Possession by Jan 2025,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Kumar Primavera B6,Wadgaon Sheri,74.55,L,"6,845 / sq ft",Under Construction,Possession by Jun 2023,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Kumar Primavera B6,Wadgaon Sheri,74.2,L,"6,870 / sq ft",Under Construction,Possession by Jun 2023,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Kumar Palaash,Wadgaon Sheri,65,L,"6,673 / sq ft",Under Construction,Possession by Jan 2025,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Nyati Meadows,Wadgaon Sheri,1.38,Cr,"7,885 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Nyati Meadows,Wadgaon Sheri,1.18,Cr,"7,712 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Nyati Meadows,Wadgaon Sheri,82,L,"6,507 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,86,L,"7,020 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.12,Cr,"6,722 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,3.99,Cr,"9,305 / sq ft",Under Construction,East facing,4 BHK Property for Sale in Viman Nagar Pune
A Square Estate,AGENT,BHK,Apartment,,Bavdhan,1,Cr,"8,474 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,Neuleaf Lifespace TechD,Bhugaon,85,L,"6,071 / sq ft",Under Construction,Possession by Nov 2023,3 BHK Property for Sale in Bhugaon Pune
A Square Estate,AGENT,BHK,Apartment,Neuleaf Lifespace TechD,Bhugaon,58,L,"5,800 / sq ft",Under Construction,Possession by Nov 2023,2 BHK Property for Sale in Bhugaon Pune
A Square Estate,AGENT,BHK,Apartment,,Bavdhan,95,L,"8,788 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,,Bavdhan,1.45,Cr,"9,797 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,,Bavdhan,1.35,Cr,"8,565 / sq ft",Under Construction,West facing,3 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,Enerrgia Skyi Songbirds Iris,Bavdhan,55,L,"6,626 / sq ft",Ready to move,Resale,2 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,Enerrgia Skyi Songbirds Iris,Bavdhan,35,L,"5,223 / sq ft",Under Construction,NorthWest facing,1 BHK Property for Sale in Bavdhan Pune
A Square Estate,AGENT,BHK,Apartment,Neuleaf Lifespace TechD,Bhugaon,90,L,"6,521 / sq ft",Under Construction,Possession by Nov 2023,3 BHK Property for Sale in Bhugaon Pune
A Square Estate,AGENT,BHK,Apartment,Neuleaf Lifespace TechD,Bhugaon,60,L,"5,555 / sq ft",Under Construction,Possession by Nov 2023,2 BHK Property for Sale in Bhugaon Pune
PROPERTY BAY,AGENT,Residential Plot,,,Kharadi,1.5,Cr,"6,000 / sq ft",New,,Property for Sale in Kharadi Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,69.37,L,"6,821 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,43.27,L,"6,536 / sq ft",Ready to move,New,1 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,77.36,L,"6,393 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,60.37,L,"6,179 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Hinjawadi Village Pune
